Station_ID,Latitude,Longitude,LSTM_Modelling,LSTM_Prediction,CNN_Modelling,CNN_Prediction,MLP_Modelling,MLP_Prediction
SF000477160,-33.43,21.9,/images_new/africa/LSTM_Africa_Output/NCDC_SF000477160_GRDC1160395_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF000477160_GRDC1160395_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000477160_GRDC1160395_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000477160_GRDC1160395_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000477160_GRDC1160395_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000477160_GRDC1160395_mlp_test.png
SF002751790,-28.98,17.1,/images_new/africa/LSTM_Africa_Output/NCDC_SF002751790_GRDC1159300_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF002751790_GRDC1159300_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF002751790_GRDC1159300_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF002751790_GRDC1159300_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF002751790_GRDC1159300_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF002751790_GRDC1159300_mlp_test.png
SF002760120,-28.7,17.52,/images_new/africa/LSTM_Africa_Output/NCDC_SF002760120_GRDC1159100_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF002760120_GRDC1159100_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF002760120_GRDC1159100_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF002760120_GRDC1159100_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF002760120_GRDC1159100_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF002760120_GRDC1159100_mlp_test.png
SF000341210,-33.52,25.08,/images_new/africa/LSTM_Africa_Output/NCDC_SF000341210_GRDC1160460_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF000341210_GRDC1160460_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000341210_GRDC1160460_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000341210_GRDC1160460_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000341210_GRDC1160460_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000341210_GRDC1160460_mlp_test.png
SF001105120,-31.57,20.3,/images_new/africa/LSTM_Africa_Output/NCDC_SF001105120_GRDC1159110_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF001105120_GRDC1159110_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF001105120_GRDC1159110_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF001105120_GRDC1159110_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF001105120_GRDC1159110_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF001105120_GRDC1159110_mlp_test.png
SF005116720,-25.7,27.35,/images_new/africa/LSTM_Africa_Output/NCDC_SF005116720_GRDC1160320_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF005116720_GRDC1160320_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF005116720_GRDC1160320_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF005116720_GRDC1160320_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF005116720_GRDC1160320_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF005116720_GRDC1160320_mlp_test.png
SF005132850,-25.73,28.15,/images_new/africa/LSTM_Africa_Output/NCDC_SF005132850_GRDC1160350_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF005132850_GRDC1160350_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF005132850_GRDC1160350_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF005132850_GRDC1160350_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF005132850_GRDC1160350_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF005132850_GRDC1160350_mlp_test.png
WA003124220,-28.03,18.75,/images_new/africa/LSTM_Africa_Output/NCDC_WA003124220_GRDC1160375_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_WA003124220_GRDC1160375_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_WA003124220_GRDC1160375_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_WA003124220_GRDC1160375_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_WA003124220_GRDC1160375_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_WA003124220_GRDC1160375_mlp_test.png
SF000207760,-33.93,18.43,/images_new/africa/LSTM_Africa_Output/NCDC_SF000207760_GRDC1160120_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF000207760_GRDC1160120_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000207760_GRDC1160120_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000207760_GRDC1160120_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000207760_GRDC1160120_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000207760_GRDC1160120_mlp_test.png
SF000414170,-33.467,18.717,/images_new/africa/LSTM_Africa_Output/NCDC_SF000414170_GRDC1160280_lstm_train.png,/images_new/africa/LSTM_Africa_Output/NCDC_SF000414170_GRDC1160280_lstm_test.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000414170_GRDC1160280_cnn_train.png,/images_new/africa/LSTM_CNN_Africa_Output/NCDC_SF000414170_GRDC1160280_cnn_test.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000414170_GRDC1160280_mlp_train.png,/images_new/africa/MLP_Africa_Output_1/NCDC_SF000414170_GRDC1160280_mlp_test.png
